SID,P_Pref,C_Pref ,Cl_Support,Tr_Support,Cand_Support,Rep_Prim,Dem_Prim,PrimElect,Tr_Dona,Tr_Volu,Cl_Dona,Cl_Volu,Cand_Dona,Cand_Volu,prev_candSupport,Tr_Difi_Dist,Tr_Difi_Over,Cl_Difi_Dist,Cl_Difi_Over,Cand_Difi_Dist,Cand_Difi_Overlap,Dem_Iden,Rep_Iden,Party_Iden,Regi,Reg_Party,Reg_Party_Plan,Dem_Dona,Dem_Volu,Rep_Dona,Rep_Volu,Party_Dona,Party_Volu,prev_partySupport,Rep_Difi_Dist,Rep_Difi_Over,Dem_Difi_Dist,Dem_Difi_Over,Party_Difi_Dist,Party_Difi_Over,DG_Test1,DG_Test2,DG_Test3,DG_Choice,Expl,Tr_Happy,Cl_Happy,EarlyVote,candVote_Choice,ClintonSupporter_Happy,TrumpSupporter_Happy,OtherSupporter_Happy,Gender,Age,Education,Income,USCit,Surveys,SimSurv,Scept,Wave,DG_In
1,Democrat,Clinton,5,,5,,Sanders,Yes,,,No,No,No,No,0,,,15,7,15,7,5,,5,Yes,Dem,,No,No,,,No,No,0,,,43,35,43,35,40,0,20,10,I gave them a little but kept more for myself as I did not feel too close to the other person. ,2,5,No,,,,,Female,34,<Coll,"$25,001-$35,000",Yes,23000,3,3,1,yes
2,Democrat,Clinton,4,,4,,Sanders,Yes,,,No,No,No,No,0,,,7,2,7,2,4,,4,Yes,Other,,No,No,,,No,No,0,,,-100,0,-100,0,10,10,10,10,i do not like hiliary or trump i like sanders,2,2,No,,,,,Male,19,HS,"$50,001-$65,000",Yes,0,3,3,1,no
3,Republican,Trump,,6,6,Trump,,Yes,No,No,,,No,No,0,47,39,,,47,39,,4,4,Yes,Other,,,,No,No,No,No,0,28,19,,,28,19,40,0,20,20,I figured give them half. I wasn't planning on a bonus so splitting it equal was no loss to me.,6,1,Yes,,,,,Female,44,Coll,"$35,001-$50,000",Yes,2250,3,3,1,yes
4,Republican,Trump,,3,3,Other,,No,No,Yes,,,No,Yes,1,26,16,,,26,16,,3,3,Yes,Other,,,,No,No,No,No,0,45,37,,,45,37,40,0,20,0,I want the most for me.  I do not know this other person.,3,1,No,,,,,Female,50,Coll,">$100,000",Yes,200,3,5,1,yes
5,Republican,Trump,,6,6,Trump,,No,No,No,,,No,No,0,70,68,,,70,68,,5,5,Yes,Rep,,,,No,No,No,No,0,31,21,,,31,21,40,0,20,10,I am not fully identified with Trump or any political affiliation for that matter but I do support Trump over anyone else because I think he will ruffle up quite a few feathers in Washington. The other person has a chance to take this study and keep all of his bonus or only give a small percentage so overall we both get a decent amount in the end.,7,2,No,,,,,Male,26,Coll,">$100,000",Yes,150,3,4,1,yes
6,Republican,Clinton,2,,2,Trump,,No,,,No,No,No,No,0,,,13,6,13,6,,4,4,Yes,Rep,,,,Yes,Yes,Yes,Yes,2,35,25,,,35,25,40,0,20,0,i dont know who the other person is,4,4,No,,,,,Male,26,HS,"$10,001-$15,000",Yes,1200,3,1,1,yes
7,Democrat,Clinton,7,,7,,Clinton,Yes,,,Yes,No,Yes,No,1,,,100,100,100,100,7,,7,Yes,Dem,,Yes,No,,,Yes,No,1,,,75,74,75,74,40,0,20,0,I need the money.,1,7,No,,,,,Female,38,<Coll,"$25,001-$35,000",Yes,15,3,2,1,yes
8,Democrat,Clinton,4,,4,,Sanders,No,,,Yes,No,Yes,No,1,,,-1,0,-1,0,5,,5,Yes,Other,,No,No,,,No,No,0,,,29,20,29,20,40,0,20,0,I wanted to keep the most money for myself,1,5,No,,,,,Male,44,HS,"$25,001-$35,000",Yes,10000,3,3,1,yes
9,Republican,Trump,,7,7,Trump,,No,No,No,,,No,No,0,90,92,,,90,92,,5,5,Yes,Rep,,,,No,No,No,No,0,60,55,,,60,55,40,0,20,20,I only expected to make $.20 from this study and if there really was another person playing I didn't mind sharing some of the money with him or her. I might have played differently if the bonus was larger but giving $.20 to another like minded stranger was an easy decision.,5,1,No,,,,,Male,67,<Coll,"$25,001-$35,000",Yes,100,3,3,1,yes
10,Democrat,Clinton,7,,7,,Clinton,Yes,,,No,No,No,No,0,,,125,100,125,100,7,,7,Yes,Dem,,No,Yes,,,No,Yes,1,,,125,100,125,100,40,0,20,20,"I believe in an equal distribution of resources. I would have shared the bonus in EXACTLY the same way, i.e. I would have sent $0.20, Even if the other mturk worker had been a Republican Donald Trump supporter.",1,7,Yes,,,,,Male,43,Coll,"$25,001-$35,000",Yes,200,2,5,1,yes
